Address,City,Neighborhood,Market,Zip Code,Space type,Total Space Available,Lease Rate
"3043 Mission, San Francisco, CA 94110","San Francisco, CA",Inner Mission,San Francisco,"
                94110
            ",Office - General Office," 10,000 Sqft",$60/Sqft/Year
"57 E Market Street, Akron, OH 44308","Akron, OH",Downtown Akron,,"
                44308
            ",Office - General Office," 10,647 Sqft",$12/Sqft/Year
"4440 Merrimac Avenue, Jacksonville, FL 32210","Jacksonville, FL",Fairfax,Jacksonville,"
                32210
            ",Office - General Office," 4,904 Sqft",$16.5/Sqft/Year
"1245 - 1255 Baldwin Ave., Pontiac, MI 48341","Pontiac, MI",Pontiac,Detroit,"
                48341
            ",Retail - Strip," 20,000 Sqft",$8/Sqft/Year
"1100 Avenida Acaso, Camarillo, CA 93012","Camarillo, CA","
                93012
            ",,Los Angeles,Industrial - Manufacturing," 9,780 Sqft",$1.05/Sqft/Month
"3301 North Buffalo Drive, Las Vegas, NV 89129","Las Vegas, NV",Northshore Reflections,Las Vegas,"
                89129
            ",Office - General Office," 323,000 Sqft",$1.85/Sqft/Month
"780 Northwoods Boulevard, Dayton, OH 45377","Dayton, OH","
                45377
            ",,Dayton,Retail - Street Retail," 50,000 Sqft",Contact for pricing
"15601 Dallas Pky, Addison, TX 75001","Addison, TX",Aventura,Dallas Fort Worth,"
                75001
            ",Office," 293,787 Sqft",$23/Sqft/Year
"8777 Tallyho Rd, Houston, TX 77061","Houston, TX",Golfcrest - Bellfort - Reveille,Houston,"
                77061
            ",Industrial - Manufacturing," 48,605 Sqft",$0.3/Sqft/Month
"10110 Donald Powers Dr., Munster, IN 46321","Munster, IN","
                46321
            ",,Chicago,Office - General Office," 32,212 Sqft",$31.07/Sqft/Year
"13212 N. Saguaro Blvd, Fountain Hills, AZ 85268","Fountain Hills, AZ",Diamante del Lago,Phoenix,"
                85268
            ",Retail - Strip," 11,237 Sqft",$16/Sqft/Year
"9500 Doral Blvd, Doral, FL 33178","Doral, FL",Doral Industrial Park,Miami,"
                33178
            ",Office - General Office," 20,724 Sqft",$35 - $60/Sqft/Year
"100 Franklin Street, Boston, MA 02110","Boston, MA",Downtown - Financial District,Boston,"
                02110
            ",Office," 120,420 Sqft",$49/Sqft/Year
"3575 Piedmont Road, Atlanta, GA 30305","Atlanta, GA",North Buckhead,Atlanta,"
                30305
            ",Office," 300,000 Sqft",$25 - $35/Sqft/Year
"5501 Highway 280, Birmingham, AL 35242","Birmingham, AL",Greystone,Birmingham,"
                35242
            ",Office - General Office," 17,000 Sqft",$740/Month
"One Beacon Street, Boston, MA 02108","Boston, MA",Downtown - Financial District,Boston,"
                02108
            ",Office," 1,017,998 Sqft",Contact for pricing
"4300 W. Stan Schlueter Loop, Killeen, TX 76549","Killeen, TX","
                76549
            ",,Central East Texas,Land - Retail (land)," 67,082.4 Sqft","$301,675"
"500 E John Carpenter Fwy, Irving, TX 75062","Irving, TX",Las Colinas,Dallas Fort Worth,"
                75062
            ",Office," 239,403 Sqft",$24/Sqft/Year
"Arguello St near Brewster Ave, Redwood City, CA 94063","Redwood City, CA",Centennial,San Francisco,"
                94063
            ",Other,"Oct 25, 2021",$0.5/Sqft/Month
"19235 N Cave Creek Rd, Phoenix, AZ 85024","Phoenix, AZ",Paradise Valley Village,Phoenix,"
                85024
            ",Retail - Freestanding," 19,173 Sqft",$15/Sqft/Year
"3307-3347 Vollmer Road, Flossmoor, IL 60422","Flossmoor, IL",Flossmoor,Chicago,"
                60422
            ",Retail," 51,951 Sqft",$17/Sqft/Year
"502 S Boston Ave, Tulsa, OK 74103","Tulsa, OK",Blue Dome District,Tulsa,"
                74103
            ",Office - Creative Office," 133,959 Sqft",$17 - $18/Sqft/Year
"3660 Flat Shoals Road, Decatur, GA 30034","Decatur, GA",Rainbow Estates,Atlanta,"
                30034
            ",Office - Medical Office," 16,000 Sqft",$18/Sqft/Year
"100 SE Executive Drive, Bentonville, AR 72712","Bentonville, AR",Werts,,"
                72712
            ",Office - General Office," 6,576 Sqft",$14.5/Sqft/Year
"12579 Main Street, Martin, KY 41649","Martin, KY","
                41649
            ",,,Office - General Office," 14,400 Sqft",$15/Sqft/Year
"2701 West Glendale Ave, Phoenix, AZ 85051","Phoenix, AZ",Alhambra,Phoenix,"
                85051
            ",Retail - Street Retail," 12,155 Sqft",$13/Year
"110 Merrick Way, Miami, FL 33134","Miami, FL",Coral Gables Crafts,Miami,"
                33134
            ",Office - Office Building," 14,510 Sqft","$1,500 - $2,000/Month"
"Melody Lane & Boiling Springs Road, Spartanburg, SC 29316","Spartanburg, SC",Valley Falls,Greenville,"
                29316
            ",Other," 2,995 Sqft",Contact for pricing
"529 S. Perry St, Montgomery, AL 36104","Montgomery, AL",Downtown Montgomery,,"
                36104
            ",Office - General Office," 5,832 Sqft",Contact for pricing
"661 - 739 W Redondo Beach Blvd,, Gardena Gateway Crossroads, CA 90247","Gardena Gateway Crossroads, CA",Harbor Gateway North,Los Angeles,"
                90247
            ",Retail - Community Center," 85,000 Sqft",Contact for pricing
"1400 US-231, Troy, AL 36079","Troy, AL","
                36079
            ",,,Retail - Power Center," 8,500 Sqft",Contact for pricing
"3333 Riverwood Parkway, Atlanta, GA 30339","Atlanta, GA",Cochise,Atlanta,"
                30339
            ",Office," 104,000 Sqft",$31/Sqft/Year
"2001 South Military Highway, Chesapeake, VA 23320","Chesapeake, VA",Chesapeake Crossing,Richmond Tidewater,"
                23320
            ",Retail - Strip," 15,000 Sqft",$10/Sqft/Year
"21739 Rd E-16, Continental, OH 45831","Continental, OH",Greater Continental,,"
                45831
            ",Industrial - Manufacturing," 181,500 Sqft",$3/Sqft/Year
"1990 K Street NW, Washington, DC 20036","Washington, DC",Downtown Washington,Washington DC Suburban Maryland,"
                20036
            ",Office," 272,983 Sqft",$32 - $37/Sqft/Year
"28533 Spring Trails Ridge, Spring, TX 77386","Spring, TX","
                77386
            ",,Houston,Retail - Restaurant," 2,757 Sqft",$21/Sqft/Year
"330 Innovation Boulevard, State College, PA 16803","State College, PA",College,,"
                16803
            ",Office - General Office," 9,353 Sqft",$16/Sqft/Year
"5043 Cascade Road, SE, Grand Rapids, MI 49546","Grand Rapids, MI",Forest Hills,Grand Rapids,"
                49546
            ",Office - General Office," 7,258 Sqft",$16.95/Sqft/Year
"14400 NW 77 Court, Miami, FL 33014","Miami, FL",Miami Lakes Business Park,Miami,"
                33014
            ",Office," 50,000 Sqft",$26.5 - $28.95/Sqft/Year
"3801 S. James Street, Grimes, IA 50111","Grimes, IA",Grimes,Des Moines,"
                50111
            ",Industrial - Warehouse/Distribution," 260,000 Sqft",$4.75 - $5.25/Sqft/Year
